Brand,Price
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 512GB ROM - Black","KSh 275,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 512GB ROM - White","KSh 275,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 512GB ROM - Natural","KSh 275,000"
Samsung  GALAXY S22 ULTRA 256GB 12G GREEN,"KSh 244,800"
"Apple iPhone 15 Pro Max, 6.7"", 512GB + 8GB RAM (Duos E-SIM One-physical sim), 4441mAh, Black","KSh 239,999"
Samsung  GALAXY S22 ULTRA 128GB 8G BLACK,"KSh 231,200"
Apple IPhone 16 Pro Max (256 GB) - Physical Duos - Desert Titanium,"KSh 230,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 256GB ROM - Black","KSh 230,000"
"Samsung Galaxy Z Fold 6 Cell Phone, 512GB/12","KSh 230,000"
Apple IPhone 16 Pro Max (256 GB)- Physical  Duos  - White Titanium,"KSh 230,000"
"Samsung Galaxy Z Fold 3 5G, 6.7 "", 512GB + 12GB RAM (Nano-SIM & ESIM), Phantom Silver","KSh 229,000"
Apple iphone 16 pro max 512gb,"KSh 219,000"
"Apple  iPhone 15 Pro Max, 6.7"", 256GB + 8GB RAM (Single SIM With E -Sim), 4441mAh, Titanium Blue","KSh 210,000"
"Apple IPhone 15 Pro Max, 6.7"", 256GB + 8GB RAM (Single SIM With E Sim), 4441mAh, Blue Titanium","KSh 210,000"
"Apple iPhone 15 Pro, 1TB + 8GB RAM (Dual SIM), Black Titanium","KSh 205,000"
"Samsung Galaxy S23 Ultra 5G, 6.8"", 256GB + 8GB RAM (Single SIM with E sim), 5000mAh, Green","KSh 200,000"
"Apple IPhone 13 Pro Max, 6.7"", 256GB + 6GB RAM -Single SIM WITH E Sim,  5G - GRAPHITE","KSh 120,000"
"Samsung Galaxy S23 Ultra 5G, 8+256GB (SINGLE WITH E SIM), 5000mAh, Black","KSh 200,000"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM (Single SIM- Hybrid E -sim), 4323mAh, 5G - Gold","KSh 200,000"
Samsung GALAXY S22 ULTRA 5G-12GB RAM 512GB ROM-Simngle sim plus Esim-Black,"KSh 200,000"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM (Single SIM -With e sim), 4323mAh, 5G - Space Black","KSh 200,000"
"Samsung Galaxy Z Flip5 5G - 512GB Storage + 8GB RAM, 6.7""/3.4"" Display,-Dual Sim physical plus E sim-Black","KSh 200,000"
"Samsung Galaxy Z FLIP 5  5G,  8+512 (SINGLE SIM WITH E SIM  ), 5000mAh-Black","KSh 200,000"
Google PIXEL 7 PRO- 12+128 GB- Single sim WITH E-sim- Obsidian,"KSh 200,000"
"Apple iPhone 16 Pro - 6.3"" - 8GB RAM, 256GB ROM - Desert","KSh 199,999"
"Samsung Galaxy Z Fold 5, 7.6"", 512GB + 12GB RAM (Single sim with E sim), 4400mAh, BLACK","KSh 199,999"
"Apple IPhone 16 Pro - 6.3"" - 8GB RAM, 256GB ROM - Black","KSh 199,999"
"Apple iPhone 16 Pro - 6.3"" - 8GB RAM, 256GB ROM - White","KSh 199,999"
"Apple  iPhone 15 Pro Max, 6.7"", 256GB + 8GB RAM (Single SIM), 4441mAh, Black titanium","KSh 199,999"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM - Deep Purple","KSh 198,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 256GB ROM - Natural","KSh 195,999"
Samsung  Galaxy S24 Ultra 5G-12+ 512GB-DUOS E -SIM-TITANIUM BLACK,"KSh 190,000"
"Apple IPhone 15 Pro Max- 6.7"", 512GB + 8GB RAM (Duos Physical SIM plus E-sim)- 4441mAh- Natural TITANIUM","KSh 190,000"
"Samsung Galaxy Z Fold5, 7.6"", 512GB + 12GB RAM (Dual SIM), 4400mAh, Cream","KSh 189,999"
"Apple IPhone 16 Pro - 6.3"" - 8GB RAM, 128GB ROM - Desert","KSh 189,999"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM (Single SIM with e sim), 4323mAh, 5G - Deep Purple","KSh 189,999"
"Apple IPhone 15 Pro, 6.1"", 256GB + 8GB RAM (Single SIM), 3274mAh, Black","KSh 189,999"
"Apple IPhone 15 Pro, 6.1"", 128GB + 8GB RAM (Single SIM), 3274mAh, White","KSh 189,999"
"Samsung Galaxy Z Fold5, 7.6"", 512GB + 12GB RAM (Dual SIM), 4400mAh, Black","KSh 189,999"
"Apple IPhone 15 Pro, 6.1"", 256GB + 8GB RAM (Single SIM), 3274mAh, Natural","KSh 189,999"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 512GB ROM - Black","KSh 275,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 512GB ROM - White","KSh 275,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 512GB ROM - Natural","KSh 275,000"
Samsung  GALAXY S22 ULTRA 256GB 12G GREEN,"KSh 244,800"
"Apple iPhone 15 Pro Max, 6.7"", 512GB + 8GB RAM (Duos E-SIM One-physical sim), 4441mAh, Black","KSh 239,999"
Samsung  GALAXY S22 ULTRA 128GB 8G BLACK,"KSh 231,200"
Apple IPhone 16 Pro Max (256 GB) - Physical Duos - Desert Titanium,"KSh 230,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 256GB ROM - Black","KSh 230,000"
"Samsung Galaxy Z Fold 6 Cell Phone, 512GB/12","KSh 230,000"
Apple IPhone 16 Pro Max (256 GB)- Physical  Duos  - White Titanium,"KSh 230,000"
"Samsung Galaxy Z Fold 3 5G, 6.7 "", 512GB + 12GB RAM (Nano-SIM & ESIM), Phantom Silver","KSh 229,000"
Apple iphone 16 pro max 512gb,"KSh 219,000"
"Apple  iPhone 15 Pro Max, 6.7"", 256GB + 8GB RAM (Single SIM With E -Sim), 4441mAh, Titanium Blue","KSh 210,000"
"Apple IPhone 15 Pro Max, 6.7"", 256GB + 8GB RAM (Single SIM With E Sim), 4441mAh, Blue Titanium","KSh 210,000"
"Apple iPhone 15 Pro, 1TB + 8GB RAM (Dual SIM), Black Titanium","KSh 205,000"
"Samsung Galaxy S23 Ultra 5G, 6.8"", 256GB + 8GB RAM (Single SIM with E sim), 5000mAh, Green","KSh 200,000"
"Apple IPhone 13 Pro Max, 6.7"", 256GB + 6GB RAM -Single SIM WITH E Sim,  5G - GRAPHITE","KSh 120,000"
"Samsung Galaxy S23 Ultra 5G, 8+256GB (SINGLE WITH E SIM), 5000mAh, Black","KSh 200,000"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM (Single SIM- Hybrid E -sim), 4323mAh, 5G - Gold","KSh 200,000"
Samsung GALAXY S22 ULTRA 5G-12GB RAM 512GB ROM-Simngle sim plus Esim-Black,"KSh 200,000"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM (Single SIM -With e sim), 4323mAh, 5G - Space Black","KSh 200,000"
"Samsung Galaxy Z Flip5 5G - 512GB Storage + 8GB RAM, 6.7""/3.4"" Display,-Dual Sim physical plus E sim-Black","KSh 200,000"
"Samsung Galaxy Z FLIP 5  5G,  8+512 (SINGLE SIM WITH E SIM  ), 5000mAh-Black","KSh 200,000"
Google PIXEL 7 PRO- 12+128 GB- Single sim WITH E-sim- Obsidian,"KSh 200,000"
"Apple iPhone 16 Pro - 6.3"" - 8GB RAM, 256GB ROM - Desert","KSh 199,999"
"Samsung Galaxy Z Fold 5, 7.6"", 512GB + 12GB RAM (Single sim with E sim), 4400mAh, BLACK","KSh 199,999"
"Apple IPhone 16 Pro - 6.3"" - 8GB RAM, 256GB ROM - Black","KSh 199,999"
"Apple iPhone 16 Pro - 6.3"" - 8GB RAM, 256GB ROM - White","KSh 199,999"
"Apple  iPhone 15 Pro Max, 6.7"", 256GB + 8GB RAM (Single SIM), 4441mAh, Black titanium","KSh 199,999"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM - Deep Purple","KSh 198,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 256GB ROM - Natural","KSh 195,999"
Samsung  Galaxy S24 Ultra 5G-12+ 512GB-DUOS E -SIM-TITANIUM BLACK,"KSh 190,000"
"Apple IPhone 15 Pro Max- 6.7"", 512GB + 8GB RAM (Duos Physical SIM plus E-sim)- 4441mAh- Natural TITANIUM","KSh 190,000"
"Samsung Galaxy Z Fold5, 7.6"", 512GB + 12GB RAM (Dual SIM), 4400mAh, Cream","KSh 189,999"
"Apple IPhone 16 Pro - 6.3"" - 8GB RAM, 128GB ROM - Desert","KSh 189,999"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM (Single SIM with e sim), 4323mAh, 5G - Deep Purple","KSh 189,999"
"Apple IPhone 15 Pro, 6.1"", 256GB + 8GB RAM (Single SIM), 3274mAh, Black","KSh 189,999"
"Apple IPhone 15 Pro, 6.1"", 128GB + 8GB RAM (Single SIM), 3274mAh, White","KSh 189,999"
"Samsung Galaxy Z Fold5, 7.6"", 512GB + 12GB RAM (Dual SIM), 4400mAh, Black","KSh 189,999"
"Apple IPhone 15 Pro, 6.1"", 256GB + 8GB RAM (Single SIM), 3274mAh, Natural","KSh 189,999"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 512GB ROM - Black","KSh 275,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 512GB ROM - White","KSh 275,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 512GB ROM - Natural","KSh 275,000"
Samsung  GALAXY S22 ULTRA 256GB 12G GREEN,"KSh 244,800"
"Apple iPhone 15 Pro Max, 6.7"", 512GB + 8GB RAM (Duos E-SIM One-physical sim), 4441mAh, Black","KSh 239,999"
Samsung  GALAXY S22 ULTRA 128GB 8G BLACK,"KSh 231,200"
Apple IPhone 16 Pro Max (256 GB) - Physical Duos - Desert Titanium,"KSh 230,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 256GB ROM - Black","KSh 230,000"
"Samsung Galaxy Z Fold 6 Cell Phone, 512GB/12","KSh 230,000"
Apple IPhone 16 Pro Max (256 GB)- Physical  Duos  - White Titanium,"KSh 230,000"
"Samsung Galaxy Z Fold 3 5G, 6.7 "", 512GB + 12GB RAM (Nano-SIM & ESIM), Phantom Silver","KSh 229,000"
Apple iphone 16 pro max 512gb,"KSh 219,000"
"Apple  iPhone 15 Pro Max, 6.7"", 256GB + 8GB RAM (Single SIM With E -Sim), 4441mAh, Titanium Blue","KSh 210,000"
"Apple IPhone 15 Pro Max, 6.7"", 256GB + 8GB RAM (Single SIM With E Sim), 4441mAh, Blue Titanium","KSh 210,000"
"Apple iPhone 15 Pro, 1TB + 8GB RAM (Dual SIM), Black Titanium","KSh 205,000"
"Samsung Galaxy S23 Ultra 5G, 6.8"", 256GB + 8GB RAM (Single SIM with E sim), 5000mAh, Green","KSh 200,000"
"Apple IPhone 13 Pro Max, 6.7"", 256GB + 6GB RAM -Single SIM WITH E Sim,  5G - GRAPHITE","KSh 120,000"
"Samsung Galaxy S23 Ultra 5G, 8+256GB (SINGLE WITH E SIM), 5000mAh, Black","KSh 200,000"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM (Single SIM- Hybrid E -sim), 4323mAh, 5G - Gold","KSh 200,000"
Samsung GALAXY S22 ULTRA 5G-12GB RAM 512GB ROM-Simngle sim plus Esim-Black,"KSh 200,000"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM (Single SIM -With e sim), 4323mAh, 5G - Space Black","KSh 200,000"
"Samsung Galaxy Z Flip5 5G - 512GB Storage + 8GB RAM, 6.7""/3.4"" Display,-Dual Sim physical plus E sim-Black","KSh 200,000"
"Samsung Galaxy Z FLIP 5  5G,  8+512 (SINGLE SIM WITH E SIM  ), 5000mAh-Black","KSh 200,000"
Google PIXEL 7 PRO- 12+128 GB- Single sim WITH E-sim- Obsidian,"KSh 200,000"
"Apple iPhone 16 Pro - 6.3"" - 8GB RAM, 256GB ROM - Desert","KSh 199,999"
"Samsung Galaxy Z Fold 5, 7.6"", 512GB + 12GB RAM (Single sim with E sim), 4400mAh, BLACK","KSh 199,999"
"Apple IPhone 16 Pro - 6.3"" - 8GB RAM, 256GB ROM - Black","KSh 199,999"
"Apple iPhone 16 Pro - 6.3"" - 8GB RAM, 256GB ROM - White","KSh 199,999"
"Apple  iPhone 15 Pro Max, 6.7"", 256GB + 8GB RAM (Single SIM), 4441mAh, Black titanium","KSh 199,999"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM - Deep Purple","KSh 198,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 256GB ROM - Natural","KSh 195,999"
Samsung  Galaxy S24 Ultra 5G-12+ 512GB-DUOS E -SIM-TITANIUM BLACK,"KSh 190,000"
"Apple IPhone 15 Pro Max- 6.7"", 512GB + 8GB RAM (Duos Physical SIM plus E-sim)- 4441mAh- Natural TITANIUM","KSh 190,000"
"Samsung Galaxy Z Fold5, 7.6"", 512GB + 12GB RAM (Dual SIM), 4400mAh, Cream","KSh 189,999"
"Apple IPhone 16 Pro - 6.3"" - 8GB RAM, 128GB ROM - Desert","KSh 189,999"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM (Single SIM with e sim), 4323mAh, 5G - Deep Purple","KSh 189,999"
"Apple IPhone 15 Pro, 6.1"", 256GB + 8GB RAM (Single SIM), 3274mAh, Black","KSh 189,999"
"Apple IPhone 15 Pro, 6.1"", 128GB + 8GB RAM (Single SIM), 3274mAh, White","KSh 189,999"
"Samsung Galaxy Z Fold5, 7.6"", 512GB + 12GB RAM (Dual SIM), 4400mAh, Black","KSh 189,999"
"Apple IPhone 15 Pro, 6.1"", 256GB + 8GB RAM (Single SIM), 3274mAh, Natural","KSh 189,999"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 512GB ROM - Black","KSh 275,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 512GB ROM - White","KSh 275,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 512GB ROM - Natural","KSh 275,000"
Samsung  GALAXY S22 ULTRA 256GB 12G GREEN,"KSh 244,800"
"Apple iPhone 15 Pro Max, 6.7"", 512GB + 8GB RAM (Duos E-SIM One-physical sim), 4441mAh, Black","KSh 239,999"
Samsung  GALAXY S22 ULTRA 128GB 8G BLACK,"KSh 231,200"
Apple IPhone 16 Pro Max (256 GB) - Physical Duos - Desert Titanium,"KSh 230,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 256GB ROM - Black","KSh 230,000"
"Samsung Galaxy Z Fold 6 Cell Phone, 512GB/12","KSh 230,000"
Apple IPhone 16 Pro Max (256 GB)- Physical  Duos  - White Titanium,"KSh 230,000"
"Samsung Galaxy Z Fold 3 5G, 6.7 "", 512GB + 12GB RAM (Nano-SIM & ESIM), Phantom Silver","KSh 229,000"
Apple iphone 16 pro max 512gb,"KSh 219,000"
"Apple  iPhone 15 Pro Max, 6.7"", 256GB + 8GB RAM (Single SIM With E -Sim), 4441mAh, Titanium Blue","KSh 210,000"
"Apple IPhone 15 Pro Max, 6.7"", 256GB + 8GB RAM (Single SIM With E Sim), 4441mAh, Blue Titanium","KSh 210,000"
"Apple iPhone 15 Pro, 1TB + 8GB RAM (Dual SIM), Black Titanium","KSh 205,000"
"Samsung Galaxy S23 Ultra 5G, 6.8"", 256GB + 8GB RAM (Single SIM with E sim), 5000mAh, Green","KSh 200,000"
"Apple IPhone 13 Pro Max, 6.7"", 256GB + 6GB RAM -Single SIM WITH E Sim,  5G - GRAPHITE","KSh 120,000"
"Samsung Galaxy S23 Ultra 5G, 8+256GB (SINGLE WITH E SIM), 5000mAh, Black","KSh 200,000"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM (Single SIM- Hybrid E -sim), 4323mAh, 5G - Gold","KSh 200,000"
Samsung GALAXY S22 ULTRA 5G-12GB RAM 512GB ROM-Simngle sim plus Esim-Black,"KSh 200,000"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM (Single SIM -With e sim), 4323mAh, 5G - Space Black","KSh 200,000"
"Samsung Galaxy Z Flip5 5G - 512GB Storage + 8GB RAM, 6.7""/3.4"" Display,-Dual Sim physical plus E sim-Black","KSh 200,000"
"Samsung Galaxy Z FLIP 5  5G,  8+512 (SINGLE SIM WITH E SIM  ), 5000mAh-Black","KSh 200,000"
Google PIXEL 7 PRO- 12+128 GB- Single sim WITH E-sim- Obsidian,"KSh 200,000"
"Apple iPhone 16 Pro - 6.3"" - 8GB RAM, 256GB ROM - Desert","KSh 199,999"
"Samsung Galaxy Z Fold 5, 7.6"", 512GB + 12GB RAM (Single sim with E sim), 4400mAh, BLACK","KSh 199,999"
"Apple IPhone 16 Pro - 6.3"" - 8GB RAM, 256GB ROM - Black","KSh 199,999"
"Apple iPhone 16 Pro - 6.3"" - 8GB RAM, 256GB ROM - White","KSh 199,999"
"Apple  iPhone 15 Pro Max, 6.7"", 256GB + 8GB RAM (Single SIM), 4441mAh, Black titanium","KSh 199,999"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM - Deep Purple","KSh 198,000"
"Apple IPhone 16 Pro Max - 6.9"" - 8GB RAM, 256GB ROM - Natural","KSh 195,999"
Samsung  Galaxy S24 Ultra 5G-12+ 512GB-DUOS E -SIM-TITANIUM BLACK,"KSh 190,000"
"Apple IPhone 15 Pro Max- 6.7"", 512GB + 8GB RAM (Duos Physical SIM plus E-sim)- 4441mAh- Natural TITANIUM","KSh 190,000"
"Samsung Galaxy Z Fold5, 7.6"", 512GB + 12GB RAM (Dual SIM), 4400mAh, Cream","KSh 189,999"
"Apple IPhone 16 Pro - 6.3"" - 8GB RAM, 128GB ROM - Desert","KSh 189,999"
"Apple IPhone 14 Pro Max, 6.7"", 256GB + 6GB RAM (Single SIM with e sim), 4323mAh, 5G - Deep Purple","KSh 189,999"
"Apple IPhone 15 Pro, 6.1"", 256GB + 8GB RAM (Single SIM), 3274mAh, Black","KSh 189,999"
"Apple IPhone 15 Pro, 6.1"", 128GB + 8GB RAM (Single SIM), 3274mAh, White","KSh 189,999"
"Samsung Galaxy Z Fold5, 7.6"", 512GB + 12GB RAM (Dual SIM), 4400mAh, Black","KSh 189,999"
"Apple IPhone 15 Pro, 6.1"", 256GB + 8GB RAM (Single SIM), 3274mAh, Natural","KSh 189,999"
